ticker,fiscal_year,period_end,period_type,revenue,cost_of_sales,gross_profit,operating_profit,net_profit,interest_expense,total_assets,total_equity,total_liabilities,current_assets,current_liabilities,inventory,receivables,operating_cash_flow,capex,return_on_equity,return_on_assets,gross_margin,operating_margin,net_margin,current_ratio,quick_ratio,debt_to_equity,debt_to_assets,asset_turnover,inventory_turnover,days_sales_outstanding,free_cash_flow,interest_coverage_ratio,working_capital,sector_gics,company_name,filing_id,calc_ROE,calc_ROA,calc_gross_margin,calc_operating_margin,calc_net_margin,calc_current_ratio,calc_quick_ratio,calc_debt_to_equity,calc_debt_to_assets,calc_asset_turnover,calc_working_capital,period_label,revenue_millions,roe_pct,company_type,data_quality_score,is_annual,is_latest,roa_pct,gross_margin_pct,operating_margin_pct,net_margin_pct,debt_to_equity_pct,debt_to_assets_pct,net_profit_millions,total_assets_millions,total_equity_millions,period_date,year_quarter,fiscal_quarter,profit_status,liquidity_status,leverage_status,roe_status,has_cogs,has_operating_profit,has_cash_flow,ticker_name,roe_decimal,roa_decimal,gross_margin_decimal,operating_margin_decimal,net_margin_decimal,size_category,profitability_score,capex_adjusted,sector_derived,gross_profit_calc,total_liabilities_calc,free_cash_flow_calc,working_capital_calc,net_margin_calc,gross_margin_calc,roe_calc
9541,2021,6/30/2021,Quarterly,18002516,,,,7398818,279572,98449271,84667379,13781892,87139621,8647591,125930,,12944527,425348,0.087386879,0.075153609,,,0.410987997,10.07675097,10.06218853,0.162776882,0.139989782,0.182860836,,,12519179,,78492030,,Academy of Learning Co.,9541_2021,8.7%,7.5%,,,41.1%,10.1,10.1,16.3%,0.14,0.18,78492030,Q2021,18,8.7%,Service,73,FALSE,FALSE,7.5,,,41.1,16.3,14,7.4,98.4,84.7,6/30/2021,2021-Q3,Q3,Profit,Strong,Low,Average,FALSE,FALSE,TRUE,9541 - Academy of Learning Co.,0.0874,0.0752,0,0,0.411,Small Cap,67,425348,Other,,13781892,12519179,78492030,41.1%,,8.7%
9541,2021,12/31/2021,Annual,42280009,,,,16198124,577700,103533370,93156600,10376770,92314561,5177140,833965,,20771033,1483926,0.173880584,0.156453171,,,0.383115434,17.83118884,17.6701028,0.111390605,0.100226333,0.408370837,,,19287107,,87137421,,Academy of Learning Co.,9541_2021,17.4%,15.6%,,,38.3%,17.8,17.7,11.1%,0.10,0.41,87137421,FY2021,42.3,17.4%,Service,73,TRUE,FALSE,15.6,,,38.3,11.1,10,16.2,103.5,93.2,12/31/2021,2021-FY,FY,Profit,Strong,Low,Excellent,FALSE,FALSE,TRUE,9541 - Academy of Learning Co.,0.1739,0.1565,0,0,0.3831,Small Cap,100,1483926,Other,,10376770,19287107,87137421,38.3%,,17.4%
9541,2022,6/30/2022,Quarterly,26209611,9511870,16697741,9204756,8160034,180368,114986890,101316634,13670256,98593871,5757819,178750,16716609,2045603,2837740,0.080539924,0.070964907,0.637084656,0.351197734,0.311337471,17.12347523,17.09243048,0.134926077,0.118885344,0.227935646,53.21325874,232.7986587,-792137,51.03319879,92836052,,Academy of Learning Co.,9541_2022,8.1%,7.1%,63.7%,35.1%,31.1%,17.1,17.1,13.5%,0.12,0.23,92836052,Q2022,26.2,8.1%,Industrial,100,FALSE,FALSE,7.1,63.7,35.1,31.1,13.5,11.9,8.2,115,101.3,6/30/2022,2022-Q3,Q3,Profit,Strong,Low,Average,TRUE,TRUE,TRUE,9541 - Academy of Learning Co.,0.0805,0.071,0.6371,0.3512,0.3113,Small Cap,67,2837740,Other,16697741,13670256,-792137,92836052,31.1%,63.7%,8.1%
9541,2022,12/31/2022,Annual,62914246,23267824,39646422,24508866,21361986,453500,122301459,105565822,16735637,103711010,9068034,2152025,17597103,18538408,5969518,0.202357028,0.174666649,0.630166052,0.389559878,0.339541318,11.43698954,11.19966963,0.158532721,0.136839226,0.514419423,10.81206027,102.0904327,12568890,54.04380595,94642976,,Academy of Learning Co.,9541_2022,20.2%,17.5%,63.0%,39.0%,34.0%,11.4,11.2,15.9%,0.14,0.51,94642976,FY2022,62.9,20.2%,Industrial,100,TRUE,FALSE,17.5,63,39,34,15.9,13.7,21.4,122.3,105.6,12/31/2022,2022-FY,FY,Profit,Strong,Low,Excellent,TRUE,TRUE,TRUE,9541 - Academy of Learning Co.,0.2024,0.1747,0.6302,0.3896,0.3395,Small Cap,100,5969518,Other,39646422,16735637,12568890,94642976,34.0%,63.0%,20.2%
9541,2023,6/30/2023,Quarterly,38823035,13381190,25441845,14004575,14203477,566229,176758427,107769299,68989128,104308740,34351251,4075123,21787749,7957197,25269103,0.131795206,0.080355303,0.655328596,0.360728495,0.365851794,3.036533953,2.917902961,0.640155672,0.390301776,0.219638948,3.283628494,204.840461,-17311906,24.73305853,69957489,,Academy of Learning Co.,9541_2023,13.2%,8.0%,65.5%,36.1%,36.6%,3.0,2.9,64.0%,0.39,0.22,69957489,Q2023,38.8,13.2%,Industrial,100,FALSE,FALSE,8,65.5,36.1,36.6,64,39,14.2,176.8,107.8,6/30/2023,2023-Q3,Q3,Profit,Strong,Moderate,Good,TRUE,TRUE,TRUE,9541 - Academy of Learning Co.,0.1318,0.0804,0.6553,0.3607,0.3659,Small Cap,78,25269103,Other,25441845,68989128,-17311906,69957489,36.6%,65.5%,13.2%
9541,2023,12/31/2023,Annual,92905710,35342200,57563510,29381226,28671510,2060708,168712186,113078274,55633912,73956078,17156219,4350177,28662293,24462642,45533190,0.253554542,0.169943326,0.619590658,0.316247796,0.308608696,4.310744576,4.057181888,0.491994704,0.329756334,0.550675753,8.124313103,112.605963,-21070548,14.2578308,56799859,,Academy of Learning Co.,9541_2023,25.4%,17.0%,62.0%,31.6%,30.9%,4.3,4.1,49.2%,0.33,0.55,56799859,FY2023,92.9,25.4%,Industrial,100,TRUE,FALSE,17,62,31.6,30.9,49.2,33,28.7,168.7,113.1,12/31/2023,2023-FY,FY,Profit,Strong,Low,Excellent,TRUE,TRUE,TRUE,9541 - Academy of Learning Co.,0.2536,0.1699,0.6196,0.3162,0.3086,Small Cap,100,45533190,Other,57563510,55633912,-21070548,56799859,30.9%,62.0%,25.4%
9541,2024,12/31/2024,Annual,127017586,68433715,58583871,23708414,19746572,5360086,264691105,123077647,141613458,101369025,25655022,4377209,43439641,23375893,40449868,0.160439954,0.074602326,0.461226456,0.186654579,0.155463292,3.951235162,3.780617144,1.150602579,0.535014042,0.479871003,15.63409812,124.828927,-17073975,4.423140599,75714003,,Academy of Learning Co.,9541_2024,16.0%,7.5%,46.1%,18.7%,15.5%,4.0,3.8,115.1%,0.54,0.48,75714003,FY2024,127,16.0%,Industrial,100,TRUE,FALSE,7.5,46.1,18.7,15.5,115.1,53.5,19.7,264.7,123.1,12/31/2024,2024-FY,FY,Profit,Strong,High,Excellent,TRUE,TRUE,TRUE,9541 - Academy of Learning Co.,0.1604,0.0746,0.4612,0.1867,0.1555,Small Cap,78,40449868,Other,58583871,141613458,-17073975,75714003,15.5%,46.1%,16.0%
9541,2025,6/30/2025,Quarterly,227913440,116671635,111241805,57263741,41456300,10909289,309531142,144303947,165227195,154035603,39779642,4266188,118437828,12594765,41940800,0.287284588,0.133932566,0.488087956,0.251252146,0.181894933,3.872221952,3.764976442,1.144994288,0.533798292,0.736318286,27.34798255,189.6764281,-29346035,5.249080944,114255961,,Academy of Learning Co.,9541_2025,28.7%,13.4%,48.8%,25.1%,18.2%,3.9,3.8,114.5%,0.53,0.74,114255961,Q2025,227.9,28.7%,Industrial,100,FALSE,TRUE,13.4,48.8,25.1,18.2,114.5,53.4,41.5,309.5,144.3,6/30/2025,2025-Q3,Q3,Profit,Strong,High,Excellent,TRUE,TRUE,TRUE,9541 - Academy of Learning Co.,0.2873,0.1339,0.4881,0.2513,0.1819,Small Cap,89,41940800,Other,111241805,165227195,-29346035,114255961,18.2%,48.8%,28.7%
4191,2020,6/30/2020,Quarterly,36156854,28260082,7896772,-829875,-1799636,920707,350490800,234576768,115914032,191954224,106074638,101726564,40812373,,402904,-0.007671842,-0.005134617,0.218403183,-0.02295208,-0.049773025,1.809614698,0.850605401,0.494141142,0.330719186,0.103160636,0.27780435,411.9970212,,-0.901345379,85879586,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2020,-0.8%,-0.5%,21.8%,-2.3%,-5.0%,1.8,0.9,49.4%,0.33,0.10,85879586,Q2020,36.2,-0.8%,Industrial,93,FALSE,FALSE,-0.5,21.8,-2.3,-5,49.4,33.1,-1.8,350.5,234.6,6/30/2020,2020-Q3,Q3,Loss,Strong,Low,Negative,TRUE,TRUE,FALSE,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,-0.0077,-0.0051,0.2184,-0.023,-0.0498,Small Cap,0,402904,Other,7896772,115914032,,85879586,-5.0%,21.8%,-0.8%
4191,2021,3/31/2021,Quarterly,,,,,,,331771267,232581006,99190261,171165122,85518860,98348709,37610978,,,,,,,,2.001489753,0.851466133,0.426476189,0.298971824,,,,,,85646262,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2021,,,,,,2.0,0.9,42.6%,0.30,,85646262,Q2021,,,Service,47,FALSE,FALSE,,,,,42.6,29.9,,331.8,232.6,3/31/2021,2021-Q2,Q2,N/A,Strong,Low,N/A,FALSE,FALSE,FALSE,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0,0,0,0,0,Small Cap,,0,Other,,99190261,,85646262,,,
