ticker,fiscal_year,period_end,period_type,revenue,cost_of_sales,gross_profit,operating_profit,net_profit,interest_expense,total_assets,total_equity,total_liabilities,current_assets,current_liabilities,inventory,receivables,operating_cash_flow,capex,return_on_equity,return_on_assets,gross_margin,operating_margin,net_margin,current_ratio,quick_ratio,debt_to_equity,debt_to_assets,asset_turnover,inventory_turnover,days_sales_outstanding,free_cash_flow,interest_coverage_ratio,working_capital,sector_gics,company_name,filing_id,calc_ROE,calc_ROA,calc_gross_margin,calc_operating_margin,calc_net_margin,calc_current_ratio,calc_quick_ratio,calc_debt_to_equity,calc_debt_to_assets,calc_asset_turnover,calc_working_capital,period_label,revenue_millions,roe_pct,company_type,data_quality_score,is_annual,is_latest,roa_pct,gross_margin_pct,operating_margin_pct,net_margin_pct,debt_to_equity_pct,debt_to_assets_pct,net_profit_millions,total_assets_millions,total_equity_millions,period_date,year_quarter,fiscal_quarter,profit_status,liquidity_status,leverage_status,roe_status,has_cogs,has_operating_profit,has_cash_flow,ticker_name,roe_decimal,roa_decimal,gross_margin_decimal,operating_margin_decimal,net_margin_decimal,size_category,profitability_score,capex_adjusted,sector_derived,gross_profit_calc,total_liabilities_calc,free_cash_flow_calc,working_capital_calc,net_margin_calc,gross_margin_calc,roe_calc,original_unit,was_normalized,normalization_multiplier
9541.0,2021.0,6/30/2021,Quarterly,18002516.0,,,,7398818.0,279572.0,98449271.0,84667379.0,13781892.0,87139621.0,8647591.0,125930.0,,12944527.0,425348.0,0.087386879,0.075153609,,,0.410987997,10.07675097,10.06218853,0.162776882,0.139989782,0.182860836,,,12519179.0,,78492030.0,,Academy of Learning Co.,9541_2021,8.7%,7.5%,,,41.1%,10.1,10.1,16.3%,0.14,0.18,78492030.0,Q2021,18.0,8.7%,Service,73,False,False,7.5,,,41.1,16.3,14.0,7.4,98.4,84.7,6/30/2021,2021-Q3,Q3,Profit,Strong,Low,Average,False,False,True,9541 - Academy of Learning Co.,0.0874,0.0752,0.0,0.0,0.411,Small Cap,67.0,425348.0,Other,,13781892.0,12519179.0,78492030.0,41.1%,,8.7%,SAR,False,1
9541.0,2021.0,12/31/2021,Annual,42280009.0,,,,16198124.0,577700.0,103533370.0,93156600.0,10376770.0,92314561.0,5177140.0,833965.0,,20771033.0,1483926.0,0.173880584,0.156453171,,,0.383115434,17.83118884,17.6701028,0.111390605,0.100226333,0.408370837,,,19287107.0,,87137421.0,,Academy of Learning Co.,9541_2021,17.4%,15.6%,,,38.3%,17.8,17.7,11.1%,0.1,0.41,87137421.0,FY2021,42.3,17.4%,Service,73,True,False,15.6,,,38.3,11.1,10.0,16.2,103.5,93.2,12/31/2021,2021-FY,FY,Profit,Strong,Low,Excellent,False,False,True,9541 - Academy of Learning Co.,0.1739,0.1565,0.0,0.0,0.3831,Small Cap,100.0,1483926.0,Other,,10376770.0,19287107.0,87137421.0,38.3%,,17.4%,SAR,False,1
9541.0,2022.0,6/30/2022,Quarterly,26209611.0,9511870.0,16697741.0,9204756.0,8160034.0,180368.0,114986890.0,101316634.0,13670256.0,98593871.0,5757819.0,178750.0,16716609.0,2045603.0,2837740.0,0.080539924,0.070964907,0.637084656,0.351197734,0.311337471,17.12347523,17.09243048,0.134926077,0.118885344,0.227935646,53.21325874,232.7986587,-792137.0,51.03319879,92836052.0,,Academy of Learning Co.,9541_2022,8.1%,7.1%,63.7%,35.1%,31.1%,17.1,17.1,13.5%,0.12,0.23,92836052.0,Q2022,26.2,8.1%,Industrial,100,False,False,7.1,63.7,35.1,31.1,13.5,11.9,8.2,115.0,101.3,6/30/2022,2022-Q3,Q3,Profit,Strong,Low,Average,True,True,True,9541 - Academy of Learning Co.,0.0805,0.071,0.6371,0.3512,0.3113,Small Cap,67.0,2837740.0,Other,16697741.0,13670256.0,-792137.0,92836052.0,31.1%,63.7%,8.1%,SAR,False,1
9541.0,2022.0,12/31/2022,Annual,62914246.0,23267824.0,39646422.0,24508866.0,21361986.0,453500.0,122301459.0,105565822.0,16735637.0,103711010.0,9068034.0,2152025.0,17597103.0,18538408.0,5969518.0,0.202357028,0.174666649,0.630166052,0.389559878,0.339541318,11.43698954,11.19966963,0.158532721,0.136839226,0.514419423,10.81206027,102.0904327,12568890.0,54.04380595,94642976.0,,Academy of Learning Co.,9541_2022,20.2%,17.5%,63.0%,39.0%,34.0%,11.4,11.2,15.9%,0.14,0.51,94642976.0,FY2022,62.9,20.2%,Industrial,100,True,False,17.5,63.0,39.0,34.0,15.9,13.7,21.4,122.3,105.6,12/31/2022,2022-FY,FY,Profit,Strong,Low,Excellent,True,True,True,9541 - Academy of Learning Co.,0.2024,0.1747,0.6302,0.3896,0.3395,Small Cap,100.0,5969518.0,Other,39646422.0,16735637.0,12568890.0,94642976.0,34.0%,63.0%,20.2%,SAR,False,1
9541.0,2023.0,6/30/2023,Quarterly,38823035.0,13381190.0,25441845.0,14004575.0,14203477.0,566229.0,176758427.0,107769299.0,68989128.0,104308740.0,34351251.0,4075123.0,21787749.0,7957197.0,25269103.0,0.131795206,0.080355303,0.655328596,0.360728495,0.365851794,3.036533953,2.917902961,0.640155672,0.390301776,0.219638948,3.283628494,204.840461,-17311906.0,24.73305853,69957489.0,,Academy of Learning Co.,9541_2023,13.2%,8.0%,65.5%,36.1%,36.6%,3.0,2.9,64.0%,0.39,0.22,69957489.0,Q2023,38.8,13.2%,Industrial,100,False,False,8.0,65.5,36.1,36.6,64.0,39.0,14.2,176.8,107.8,6/30/2023,2023-Q3,Q3,Profit,Strong,Moderate,Good,True,True,True,9541 - Academy of Learning Co.,0.1318,0.0804,0.6553,0.3607,0.3659,Small Cap,78.0,25269103.0,Other,25441845.0,68989128.0,-17311906.0,69957489.0,36.6%,65.5%,13.2%,SAR,False,1
9541.0,2023.0,12/31/2023,Annual,92905710.0,35342200.0,57563510.0,29381226.0,28671510.0,2060708.0,168712186.0,113078274.0,55633912.0,73956078.0,17156219.0,4350177.0,28662293.0,24462642.0,45533190.0,0.253554542,0.169943326,0.619590658,0.316247796,0.308608696,4.310744576,4.057181888,0.491994704,0.329756334,0.550675753,8.124313103,112.605963,-21070548.0,14.2578308,56799859.0,,Academy of Learning Co.,9541_2023,25.4%,17.0%,62.0%,31.6%,30.9%,4.3,4.1,49.2%,0.33,0.55,56799859.0,FY2023,92.9,25.4%,Industrial,100,True,False,17.0,62.0,31.6,30.9,49.2,33.0,28.7,168.7,113.1,12/31/2023,2023-FY,FY,Profit,Strong,Low,Excellent,True,True,True,9541 - Academy of Learning Co.,0.2536,0.1699,0.6196,0.3162,0.3086,Small Cap,100.0,45533190.0,Other,57563510.0,55633912.0,-21070548.0,56799859.0,30.9%,62.0%,25.4%,SAR,False,1
9541.0,2024.0,12/31/2024,Annual,127017586.0,68433715.0,58583871.0,23708414.0,19746572.0,5360086.0,264691105.0,123077647.0,141613458.0,101369025.0,25655022.0,4377209.0,43439641.0,23375893.0,40449868.0,0.160439954,0.074602326,0.461226456,0.186654579,0.155463292,3.951235162,3.780617144,1.150602579,0.535014042,0.479871003,15.63409812,124.828927,-17073975.0,4.423140599,75714003.0,,Academy of Learning Co.,9541_2024,16.0%,7.5%,46.1%,18.7%,15.5%,4.0,3.8,115.1%,0.54,0.48,75714003.0,FY2024,127.0,16.0%,Industrial,100,True,False,7.5,46.1,18.7,15.5,115.1,53.5,19.7,264.7,123.1,12/31/2024,2024-FY,FY,Profit,Strong,High,Excellent,True,True,True,9541 - Academy of Learning Co.,0.1604,0.0746,0.4612,0.1867,0.1555,Small Cap,78.0,40449868.0,Other,58583871.0,141613458.0,-17073975.0,75714003.0,15.5%,46.1%,16.0%,SAR,False,1
9541.0,2025.0,6/30/2025,Quarterly,227913440.0,116671635.0,111241805.0,57263741.0,41456300.0,10909289.0,309531142.0,144303947.0,165227195.0,154035603.0,39779642.0,4266188.0,118437828.0,12594765.0,41940800.0,0.287284588,0.133932566,0.488087956,0.251252146,0.181894933,3.872221952,3.764976442,1.144994288,0.533798292,0.736318286,27.34798255,189.6764281,-29346035.0,5.249080944,114255961.0,,Academy of Learning Co.,9541_2025,28.7%,13.4%,48.8%,25.1%,18.2%,3.9,3.8,114.5%,0.53,0.74,114255961.0,Q2025,227.9,28.7%,Industrial,100,False,True,13.4,48.8,25.1,18.2,114.5,53.4,41.5,309.5,144.3,6/30/2025,2025-Q3,Q3,Profit,Strong,High,Excellent,True,True,True,9541 - Academy of Learning Co.,0.2873,0.1339,0.4881,0.2513,0.1819,Small Cap,89.0,41940800.0,Other,111241805.0,165227195.0,-29346035.0,114255961.0,18.2%,48.8%,28.7%,SAR,False,1
4191.0,2020.0,6/30/2020,Quarterly,36156854.0,28260082.0,7896772.0,-829875.0,-1799636.0,920707.0,350490800.0,234576768.0,115914032.0,191954224.0,106074638.0,101726564.0,40812373.0,,402904.0,-0.007671842,-0.005134617,0.218403183,-0.02295208,-0.049773025,1.809614698,0.850605401,0.494141142,0.330719186,0.103160636,0.27780435,411.9970212,,-0.901345379,85879586.0,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2020,-0.8%,-0.5%,21.8%,-2.3%,-5.0%,1.8,0.9,49.4%,0.33,0.1,85879586.0,Q2020,36.2,-0.8%,Industrial,93,False,False,-0.5,21.8,-2.3,-5.0,49.4,33.1,-1.8,350.5,234.6,6/30/2020,2020-Q3,Q3,Loss,Strong,Low,Negative,True,True,False,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,-0.0077,-0.0051,0.2184,-0.023,-0.0498,Small Cap,0.0,402904.0,Other,7896772.0,115914032.0,,85879586.0,-5.0%,21.8%,-0.8%,SAR,False,1
4191.0,2021.0,3/31/2021,Quarterly,,,,,,,331771267.0,232581006.0,99190261.0,171165122.0,85518860.0,98348709.0,37610978.0,,,,,,,,2.001489753,0.851466133,0.426476189,0.298971824,,,,,,85646262.0,,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,4191_2021,,,,,,2.0,0.9,42.6%,0.3,,85646262.0,Q2021,,,Service,47,False,False,,,,,42.6,29.9,,331.8,232.6,3/31/2021,2021-Q2,Q2,,Strong,Low,,False,False,False,4191 - Abdullah Saad Mohammed Abo Moati for Bookstores Co.,0.0,0.0,0.0,0.0,0.0,Small Cap,,0.0,Other,,99190261.0,,85646262.0,,,,SAR,False,1
