ticker,fiscal_year,period_end,period_type,revenue,cost_of_sales,gross_profit,operating_profit,net_profit,interest_expense,total_assets,total_equity,total_liabilities,current_assets,current_liabilities,inventory,receivables,sector_gics,company_name,extraction_date,source_file,confidence_score,validation_status
1010,2024,12/31/2024,Annual,,,,17284531000,9321894000,,450378794000,67942099000,382436695000,,,,,,Riyad Bank,2026-02-03,Riyad_Bank_FYE_2024.xlsx,100,valid
1020,2024,12/31/2024,Annual,,,,3779397000,1230954000,,148906068000,17201697000,131704371000,,,,,,Bank Aljazira,2026-02-03,Bank_Aljazira_FYE_2024.xlsx,85,valid
1030,2024,12/31/2024,Annual,,,,4178048000,1956630000,,156666688000,20728614000,135938074000,,,,,,Saudi Investment Bank,2026-02-03,Saudi_Investment_Bank_FYE_2024.xlsx,100,valid
1060,2024,12/31/2024,Annual,,,,14017672000,8070461000,,399442809000,68286183000,331156626000,,,,,,Saudi Awwal Bank,2026-02-03,Saudi_Awwal_Bank_FYE_2024.xlsx,100,valid
1140,2024,12/31/2024,Annual,,,,5671879000,2806531000,,154964687000,16693230000,138271457000,,,,,,Bank Albilad,2026-02-03,Bank_Albilad_FYE_2024.xlsx,100,valid
1150,2024,12/31/2024,Annual,,,,10940076000,5831661000,,276827481000,41441775000,235385706000,,,,,,Alinma Bank,2026-02-03,Alinma_Bank_FYE_2024.xlsx,85,valid
1212,2024,12/31/2024,Annual,3062261277,,,,552875387,,4328062188,2530968707,1797093481,2781084489,1559125183,686150033,,Industrial,Astra Industrial Group,2026-02-03,Astra_Industrial_Group_FYE_2024.xlsx,100,valid
1301,2024,12/31/2024,Annual,707286079,649369711,,22505854,16232927,,440325677,367549280,72776397,288506719,62399808,141460190,,Industrial,United Wire Factories Co,2026-02-03,United_Wire_Factories_Co_FYE_2024.xlsx,100,valid
1302,2024,12/31/2024,Annual,3020204000,2651233000,,127437000,111806000,,2597898000,961470000,1636428000,1861331000,1070301000,781539000,,Industrial,Bawan Co,2026-02-03,Bawan_Co_FYE_2024.xlsx,100,valid
2200,2024,12/31/2024,Annual,1138273000,855083000,,176061000,168177000,,931579000,401315000,530264000,632181000,432242000,311681000,,Industrial,Arabian Pipes Co,2026-02-03,Arabian_Pipes_Co_FYE_2024.xlsx,100,valid
2240,2024,12/31/2024,Annual,6090496000,5031844000,,98171000,66649000,,6033116000,669187000,5363929000,4933179000,5021682000,1438895000,,Industrial,Zamil Industrial Investment Co,2026-02-03,Zamil_Industrial_Investment_Co_FYE_2024.xlsx,100,valid
